ScientificName;AphiaID;Trophy;typeMX;source;sourceType;contributor
Aphanothece castagnei;162683;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanothece paralleliformis;624961;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanothece stagnina;162694;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus aphanocapsoides;162696;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus cumulatus;162699;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus dispersus;146569;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus distans;162704;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus minimus;162714;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus minor;146614;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus minutus;146567;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus turgidus;146566;phototroph;NA;Helcom;routineMonitoring;Lisa
Chroococcus;146565;phototroph;NA;Helcom;routineMonitoring;Lisa
Gomphosphaeria aponina;146572;phototroph;NA;Helcom;routineMonitoring;Lisa
Gomphosphaeria salina;177136;phototroph;NA;Helcom;routineMonitoring;Lisa
Gomphosphaeria;146570;phototroph;NA;Helcom;routineMonitoring;Lisa
Limnococcus limneticus;576250;phototroph;NA;Helcom;routineMonitoring;Lisa
Microcystis flos-aquae;146560;phototroph;NA;Helcom;routineMonitoring;Lisa
Microcystis ichthyoblabe;177245;phototroph;NA;Helcom;routineMonitoring;Lisa
Microcystis novacekii;177252;phototroph;NA;Helcom;routineMonitoring;Lisa
Microcystis viridis;177400;phototroph;NA;Helcom;routineMonitoring;Lisa
Microcystis wesenbergii;146561;phototroph;NA;Helcom;routineMonitoring;Lisa
Radiocystis geminata;177431;phototroph;NA;Helcom;routineMonitoring;Lisa
Anathece bachmannii;624957;phototroph;NA;Helcom;routineMonitoring;Lisa
Anathece clathrata;699619;phototroph;NA;Helcom;routineMonitoring;Lisa
Anathece minutissima;624955;phototroph;NA;Helcom;routineMonitoring;Lisa
Anathece smithii;624960;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanocapsa delicatissima;146563;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanocapsa elachista;146564;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanocapsa holsatica;146647;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanocapsa incerta;162668;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanocapsa planctonica;162672;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanocapsa reinboldii;162673;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanocapsa rivularis;162675;phototroph;NA;Helcom;routineMonitoring;Lisa
Aphanocapsa;146562;phototroph;NA;Helcom;routineMonitoring;Lisa
Coelomoron pusillum;160569;phototroph;NA;Helcom;routineMonitoring;Lisa
Coelomoron;160568;phototroph;NA;Helcom;routineMonitoring;Lisa
Coelosphaerium dubium;146575;phototroph;NA;Helcom;routineMonitoring;Lisa
Coelosphaerium kuetzingianum;177100;phototroph;NA;Helcom;routineMonitoring;Lisa
Coelosphaerium minutissimum;146619;phototroph;NA;Helcom;routineMonitoring;Lisa
Coelosphaerium subarcticum;177103;phototroph;NA;Helcom;routineMonitoring;Lisa
Coelosphaerium;146573;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanodictyon balticum;707720;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanodictyon iac;612428;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanodictyon planctonicum;177112;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanodictyon reticulatum;177113;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanodictyon tubiforme;614743;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanodictyon;177108;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanonephron styloides;177122;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanonephron;177121;phototroph;NA;Helcom;routineMonitoring;Lisa
Cyanocatena imperfecta;622903;phototroph;NA;Helcom;routineMonitoring;Lisa
Eucapsis alpina;177126;phototroph;NA;Helcom;routineMonitoring;Lisa
Eucapsis microscopica;1315861;phototroph;NA;Helcom;routineMonitoring;Lisa
Eucapsis minuta;177128;phototroph;NA;Helcom;routineMonitoring;Lisa
Eucapsis;177125;phototroph;NA;Helcom;routineMonitoring;Lisa
Lemmermanniella pallida;177140;phototroph;NA;Helcom;routineMonitoring;Lisa
Lemmermanniella parva;177155;phototroph;NA;Helcom;routineMonitoring;Lisa
Lemmermanniella;177138;phototroph;NA;Helcom;routineMonitoring;Lisa
Limnothrix planctonica;177507;phototroph;NA;Helcom;routineMonitoring;Lisa
Limnothrix redekei;177508;phototroph;NA;Helcom;routineMonitoring;Lisa
Merismopedia elegans;177158;phototroph;NA;Helcom;routineMonitoring;Lisa
Merismopedia glauca;146578;phototroph;NA;Helcom;routineMonitoring;Lisa
Merismopedia punctata;146577;phototroph;NA;Helcom;routineMonitoring;Lisa
Merismopedia tenuissima;146576;phototroph;NA;Helcom;routineMonitoring;Lisa
Merismopedia warmingiana;146546;phototroph;NA;Helcom;routineMonitoring;Lisa
Pannus spumosus;177428;phototroph;NA;Helcom;routineMonitoring;Lisa
Pannus;177426;phototroph;NA;Helcom;routineMonitoring;Lisa
Planktolyngbya contorta;177572;phototroph;NA;Helcom;routineMonitoring;Lisa
Planktolyngbya lacustris;177574;phototroph;NA;Helcom;routineMonitoring;Lisa
Planktolyngbya limnetica;177576;phototroph;NA;Helcom;routineMonitoring;Lisa
Planktolyngbya;146677;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudanabaena acicularis;577876;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudanabaena limnetica;177590;phototroph;NA;Helcom;routineMonitoring;Lisa
Pseudanabaena mucicola;177592;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhabdoderma lineare;177447;phototroph;NA;Helcom;routineMonitoring;Lisa
Rhabdoderma;177434;phototroph;NA;Helcom;routineMonitoring;Lisa
Romeria;177595;phototroph;NA;Helcom;routineMonitoring;Lisa
Snowella atomus;177464;phototroph;NA;Helcom;routineMonitoring;Lisa
Snowella fennica;177465;phototroph;NA;Helcom;routineMonitoring;Lisa
Snowella lacustris;146645;phototroph;NA;Helcom;routineMonitoring;Lisa
Snowella litoralis;177473;phototroph;NA;Helcom;routineMonitoring;Lisa
Snowella septentrionalis;177480;phototroph;NA;Helcom;routineMonitoring;Lisa
Synechococcus;160572;phototroph;NA;Helcom;routineMonitoring;Lisa
Woronichinia compacta;177484;phototroph;NA;Helcom;routineMonitoring;Lisa
Woronichinia elorantae;177489;phototroph;NA;Helcom;routineMonitoring;Lisa
Woronichinia fusca;177490;phototroph;NA;Helcom;routineMonitoring;Lisa
Woronichinia karelica;177492;phototroph;NA;Helcom;routineMonitoring;Lisa
